origin,destination,lon_o,lat_o,lon_d,lat_d
SYD,MEL,151.1753,-33.9399,144.843,-37.6733
SYD,BNE,151.1753,-33.9399,153.1175,-27.3842
MEL,BNE,144.843,-37.6733,153.1175,-27.3842
SYD,ADL,151.1753,-33.9399,138.5306,-34.945
MEL,ADL,144.843,-37.6733,138.5306,-34.945
SYD,PER,151.1753,-33.9399,115.9672,-31.9403
MEL,PER,144.843,-37.6733,115.9672,-31.9403
SYD,HBA,151.1753,-33.9399,147.51,-42.8361
MEL,HBA,144.843,-37.6733,147.51,-42.8361
BNE,DRW,153.1175,-27.3842,130.8767,-12.4147
SYD,DRW,151.1753,-33.9399,130.8767,-12.4147
ADL,PER,138.5306,-34.945,115.9672,-31.9403
